ML_Threshold,TP_Multiplier,DCA_Spacing,Net_Profit_USD,Profit_Pct,Win_Rate,Profit_Factor,Max_DD_USD,Max_DD_Pct,Total_Trades,Daily_Violations,TP_Exits,ML_Exits,BE_Exits,DD_Cuts
0.25,1.0,"(1.0, 1.5, 2.0)",-58.07,-5.72,68.94,0.91,322.63,29.79,161,1,107,15,7,1
0.25,1.0,"(1.5, 2.0, 2.5)",7.53,0.74,65.81,1.02,321.75,29.56,155,1,100,14,6,1
0.25,1.0,"(2.0, 3.0, 4.0)",53.41,5.26,63.87,1.13,208.67,19.53,155,1,97,10,6,1
0.25,1.5,"(1.0, 1.5, 2.0)",60.77,5.99,61.38,1.09,322.63,29.47,145,1,82,28,14,1
0.25,1.5,"(1.5, 2.0, 2.5)",109.12,10.75,62.32,1.19,321.75,29.3,138,1,83,25,12,1
0.25,1.5,"(2.0, 3.0, 4.0)",81.37,8.01,59.85,1.16,207.75,19.3,137,1,79,23,13,1
0.25,2.0,"(1.0, 1.5, 2.0)",-44.52,-4.39,50.38,0.94,322.63,28.99,131,1,57,34,27,1
0.25,2.0,"(1.5, 2.0, 2.5)",65.19,6.42,47.66,1.11,321.75,28.78,128,1,56,31,30,1
0.25,2.0,"(2.0, 3.0, 4.0)",123.8,12.19,47.66,1.25,207.75,19.0,128,1,57,29,28,1
0.25,2.5,"(1.0, 1.5, 2.0)",-160.98,-15.86,46.03,0.82,344.02,29.7,126,1,45,38,30,1
0.25,2.5,"(1.5, 2.0, 2.5)",2.06,0.2,39.52,1.0,321.75,29.38,124,1,42,36,34,1
0.25,2.5,"(2.0, 3.0, 4.0)",43.88,4.32,39.52,1.07,207.75,19.41,124,1,43,33,34,1
0.35,1.0,"(1.0, 1.5, 2.0)",-379.86,-37.42,63.24,0.69,535.04,49.08,272,2,164,33,12,1
0.35,1.0,"(1.5, 2.0, 2.5)",-300.11,-29.56,60.54,0.7,488.97,44.63,261,2,153,29,11,1
0.35,1.0,"(2.0, 3.0, 4.0)",-191.06,-18.82,58.87,0.78,351.86,32.5,265,2,151,23,11,1
0.35,1.5,"(1.0, 1.5, 2.0)",-356.98,-35.16,54.04,0.73,641.52,58.4,235,2,111,57,28,1
0.35,1.5,"(1.5, 2.0, 2.5)",-200.01,-19.7,54.63,0.81,420.55,38.12,227,2,114,51,24,1
0.35,1.5,"(2.0, 3.0, 4.0)",-142.27,-14.01,54.19,0.85,388.47,33.62,227,2,112,51,25,1
0.35,2.0,"(1.0, 1.5, 2.0)",-261.27,-25.73,49.07,0.79,440.41,39.49,216,1,87,64,40,1
0.35,2.0,"(1.5, 2.0, 2.5)",-114.45,-11.27,45.93,0.89,327.11,29.07,209,1,84,59,43,1
0.35,2.0,"(2.0, 3.0, 4.0)",-49.71,-4.9,46.63,0.94,297.61,25.68,208,1,85,57,41,1
0.35,2.5,"(1.0, 1.5, 2.0)",-206.34,-20.32,44.83,0.84,419.26,36.9,203,1,67,70,46,1
0.35,2.5,"(1.5, 2.0, 2.5)",-97.74,-9.63,41.71,0.91,319.58,28.93,199,1,65,66,47,1
0.35,2.5,"(2.0, 3.0, 4.0)",-58.04,-5.72,41.62,0.94,322.57,27.28,197,1,65,62,48,1
0.45,1.0,"(1.0, 1.5, 2.0)",120.21,11.84,61.52,1.1,470.1,30.56,369,1,216,57,16,0
0.45,1.0,"(1.5, 2.0, 2.5)",201.5,19.85,59.5,1.2,404.57,26.64,358,1,204,55,15,0
0.45,1.0,"(2.0, 3.0, 4.0)",17.52,1.73,56.91,1.02,450.08,32.1,362,1,197,45,15,0
0.45,1.5,"(1.0, 1.5, 2.0)",217.67,21.44,53.18,1.17,593.79,37.16,314,1,144,89,37,0
0.45,1.5,"(1.5, 2.0, 2.5)",58.09,5.72,53.27,1.04,357.26,28.21,306,2,148,84,30,1
0.45,1.5,"(2.0, 3.0, 4.0)",212.13,20.89,52.98,1.22,397.98,26.65,302,1,145,80,29,0
0.45,2.0,"(1.0, 1.5, 2.0)",201.64,19.86,48.23,1.17,376.38,26.49,282,0,109,98,47,0
0.45,2.0,"(1.5, 2.0, 2.5)",443.33,43.67,45.16,1.47,257.16,16.09,279,0,106,92,52,0
0.45,2.0,"(2.0, 3.0, 4.0)",223.0,21.97,45.62,1.24,304.28,21.91,274,0,107,90,49,0
0.45,2.5,"(1.0, 1.5, 2.0)",156.49,15.41,44.03,1.12,437.59,29.2,268,0,86,102,56,0
0.45,2.5,"(1.5, 2.0, 2.5)",250.07,24.63,42.21,1.24,252.68,19.7,263,0,85,99,55,0
0.45,2.5,"(2.0, 3.0, 4.0)",210.43,20.73,41.31,1.21,308.06,21.39,259,0,84,94,57,0
0.55,1.0,"(1.0, 1.5, 2.0)",149.35,14.71,58.89,1.09,699.18,39.27,450,2,242,99,17,0
0.55,1.0,"(1.5, 2.0, 2.5)",220.38,21.71,58.05,1.16,507.86,31.26,441,2,234,95,16,0
0.55,1.0,"(2.0, 3.0, 4.0)",-17.84,-1.76,54.83,0.99,599.8,39.91,445,2,223,84,16,0
0.55,1.5,"(1.0, 1.5, 2.0)",369.55,36.4,49.87,1.22,817.43,41.78,381,2,157,131,42,0
0.55,1.5,"(1.5, 2.0, 2.5)",50.57,4.98,50.0,1.03,483.3,34.45,372,2,161,126,37,1
0.55,1.5,"(2.0, 3.0, 4.0)",88.25,8.69,50.27,1.06,503.77,34.5,368,2,159,124,33,0
0.55,2.0,"(1.0, 1.5, 2.0)",291.1,28.67,45.06,1.18,700.62,38.65,344,2,117,141,54,1
0.55,2.0,"(1.5, 2.0, 2.5)",127.34,12.54,42.23,1.08,413.57,29.1,341,1,113,136,59,1
0.55,2.0,"(2.0, 3.0, 4.0)",81.71,8.05,42.26,1.06,473.24,33.7,336,1,112,133,58,1
0.55,2.5,"(1.0, 1.5, 2.0)",435.41,42.89,41.28,1.27,590.27,30.92,327,1,92,144,64,1
0.55,2.5,"(1.5, 2.0, 2.5)",176.8,17.41,39.81,1.12,413.41,28.0,324,1,92,140,63,1
0.55,2.5,"(2.0, 3.0, 4.0)",179.09,17.64,39.31,1.13,420.05,27.85,318,1,90,135,66,1
0.75,1.0,"(1.0, 1.5, 2.0)",-181.94,-17.92,53.51,0.93,975.27,56.81,669,3,280,263,17,1
0.75,1.0,"(1.5, 2.0, 2.5)",-74.39,-7.33,53.22,0.97,771.49,48.66,652,3,273,247,16,1
0.75,1.0,"(2.0, 3.0, 4.0)",-333.45,-32.85,50.61,0.85,857.17,59.79,656,3,263,233,16,1
0.75,1.5,"(1.0, 1.5, 2.0)",416.79,41.05,46.94,1.19,803.59,40.53,588,3,181,307,44,0
0.75,1.5,"(1.5, 2.0, 2.5)",-79.16,-7.8,47.74,0.97,699.59,47.92,574,3,188,290,39,2
0.75,1.5,"(2.0, 3.0, 4.0)",-49.54,-4.88,47.53,0.98,736.47,48.85,566,3,186,282,37,1
0.75,2.0,"(1.0, 1.5, 2.0)",389.92,38.41,43.35,1.18,584.74,32.14,549,3,134,318,62,1
0.75,2.0,"(1.5, 2.0, 2.5)",59.5,5.86,42.19,1.03,648.27,41.57,538,2,130,307,66,2
0.75,2.0,"(2.0, 3.0, 4.0)",-85.21,-8.39,41.37,0.96,723.88,48.6,527,2,127,295,66,2
0.75,2.5,"(1.0, 1.5, 2.0)",533.43,52.54,39.58,1.25,605.2,29.89,528,2,104,320,75,1
0.75,2.5,"(1.5, 2.0, 2.5)",107.44,10.58,39.92,1.05,641.6,38.21,516,2,105,308,70,2
0.75,2.5,"(2.0, 3.0, 4.0)",35.05,3.45,39.01,1.02,701.61,42.64,505,2,103,296,74,2
